"DC1","DC2","DC3"
0.0131624756267166,0.0189679902565498,-0.0503732862741997
-0.0202668166968376,0.00683617909857262,0.0128990147146071
-0.0210035363074184,0.00577153669565414,0.0105880591934174
0.016914223295042,-0.0381185267217689,-0.00215788080188842
-0.035884711876348,-0.00597447257361633,-0.00410832597073092
0.0118424449099268,0.0123086661339275,-0.0206610099028547
-0.00578905471506419,0.0123552224086201,0.0157498601940682
0.0135501666957251,0.0173887513362486,-0.0496686288778998
0.00839871890643611,0.0131843879665192,0.0158395568298036
0.00790555768552878,0.0140140803467162,0.0155653497885436
-0.0446006964461999,-0.0117344527306096,-0.0122913714730927
0.0153197610132796,-0.0285831506772621,-0.00357975829332477
-0.00706772005835346,0.0180255877991813,0.0218942568215803
-0.0420517700543315,-0.00920335513604396,-0.00801629467219926
-0.0151250567445176,0.0139343408215898,0.0215650319653733
-0.0169111468598524,0.0127285401902937,0.0202885933390538
-0.0186290628318334,0.011422967116822,0.0189374377998627
-0.0095562531011475,0.0169966189834219,0.0223702827603776
-0.0153114378187896,0.0101300591419289,0.0155945318869472
0.0113251568061935,-0.00087323624869888,0.00560670667844689
-0.0203063362662839,0.0063721220828332,0.0129515971504363
0.00907917213696217,0.00546011877137464,0.00842118290828572
-0.00500845536005128,0.0196514952451439,0.0213573905720866
-0.0399850845277644,-0.00810713433854674,-0.00705800367080992
-0.0199613654634265,0.00926669306155781,0.0169551709246558
-0.026218397029628,0.00502497277680921,0.0116392232951096
-0.0243054287779769,0.00330552867865443,0.00930032460543342
0.00878259866803195,0.0139755158622349,0.0163077275722566
-0.0120266205544329,0.0148797866844263,0.0207927975800658
-0.0178871186358083,0.00504221188888152,0.00843909711694718
-0.0117245021771091,0.0160061045397617,0.0224027326496282
0.00780081203560333,0.014866508193061,0.00492471749464403
-0.019128862853347,0.0112077339573556,0.0188338860243587
-0.00952376628512077,0.0144231133459354,0.0194119818031257
0.0086899183696503,0.0136321875839341,0.0157774465142244
-0.03318172552813,-0.00261014714286528,0.000185080964576101
-0.0431154077129625,-0.00889165744156284,-0.00821271280850371
-0.00829928700596768,0.0190062077407116,0.0241462545251293
-0.0248695545231124,0.00415452116618273,0.0105266007655788
-0.0466746610969999,-0.0129463159231933,-0.0130885943412212
0.00784237821469395,0.0147009240807159,0.0153017312599404
