"id_cp_interaction","interacting_pair","partner_a","partner_b","gene_a","gene_b","secreted","receptor_a","receptor_b","annotation_strategy","is_integrin","rank","cell1:cell2","pvalue","avgExpr","cell1","cell2"
"CPI-SS05996C8FD","AGT_AGTR1","simple:P01019","simple:P30556","ENSG00000135744","ENSG00000144891","True","False","True","guidetopharmacology.org","False",0.01,"Pericytes|Fibroblast",0,0.139,"Pericytes","Fibroblast"
"CPI-SS05996C8FD","AGT_AGTR1","simple:P01019","simple:P30556","ENSG00000135744","ENSG00000144891","True","False","True","guidetopharmacology.org","False",0.01,"Injured Tubule|Fibroblast",0,0.097,"Injured Tubule","Fibroblast"
"CPI-CS091BF99D0","INHBA_1A2A receptor_ACVR","simple:P08476","complex:ACVR_1A2A receptor","ENSG00000122641","","True","False","True","curated","False",0.011,"Myofibroblast|Myofibroblast",0,0.304,"Myofibroblast","Myofibroblast"
"CPI-CS091BF99D0","INHBA_1A2A receptor_ACVR","simple:P08476","complex:ACVR_1A2A receptor","ENSG00000122641","","True","False","True","curated","False",0.011,"Podocytes|Myofibroblast",0,0.145,"Podocytes","Myofibroblast"
"CPI-CS075442484","BMP2_ACR2A_BMR1A","simple:P12643","complex:BMR1A_ACR2A","ENSG00000125845","","True","False","True","curated","False",0.012,"Podocytes|Myofibroblast",0,0.169,"Podocytes","Myofibroblast"
"CPI-CS04F78ACD6","GDF11_1B2A receptor_ACVR","simple:O95390","complex:ACVR_1B2A receptor","ENSG00000135414","","True","False","True","curated","False",0.012,"Pericytes|Myofibroblast",0,0.133,"Pericytes","Myofibroblast"
"CPI-SC001669E22","GDF11_TGFR_AVR2A","simple:O95390","complex:TGFR_AVR2A","ENSG00000135414","","True","False","True","curated","False",0.012,"Pericytes|Myofibroblast",0,0.133,"Pericytes","Myofibroblast"
"CPI-CS04F78ACD6","GDF11_1B2A receptor_ACVR","simple:O95390","complex:ACVR_1B2A receptor","ENSG00000135414","","True","False","True","curated","False",0.012,"Fibroblast|Myofibroblast",0,0.113,"Fibroblast","Myofibroblast"
"CPI-SC001669E22","GDF11_TGFR_AVR2A","simple:O95390","complex:TGFR_AVR2A","ENSG00000135414","","True","False","True","curated","False",0.012,"Fibroblast|Myofibroblast",0,0.113,"Fibroblast","Myofibroblast"
"CPI-CS075442484","BMP2_ACR2A_BMR1A","simple:P12643","complex:BMR1A_ACR2A","ENSG00000125845","","True","False","True","curated","False",0.012,"Injured Tubule|Myofibroblast",0,0.106,"Injured Tubule","Myofibroblast"
"CPI-CS04F78ACD6","GDF11_1B2A receptor_ACVR","simple:O95390","complex:ACVR_1B2A receptor","ENSG00000135414","","True","False","True","curated","False",0.012,"Podocytes|Myofibroblast",0.011,0.102,"Podocytes","Myofibroblast"
"CPI-SC001669E22","GDF11_TGFR_AVR2A","simple:O95390","complex:TGFR_AVR2A","ENSG00000135414","","True","False","True","curated","False",0.012,"Podocytes|Myofibroblast",0.011,0.102,"Podocytes","Myofibroblast"
"CPI-CS04F78ACD6","GDF11_1B2A receptor_ACVR","simple:O95390","complex:ACVR_1B2A receptor","ENSG00000135414","","True","False","True","curated","False",0.012,"Myofibroblast|Myofibroblast",0,0.101,"Myofibroblast","Myofibroblast"
"CPI-SC001669E22","GDF11_TGFR_AVR2A","simple:O95390","complex:TGFR_AVR2A","ENSG00000135414","","True","False","True","curated","False",0.012,"Myofibroblast|Myofibroblast",0,0.101,"Myofibroblast","Myofibroblast"
"CPI-SS068C742A1","FGF1_TGFBR3","simple:P05230","simple:Q03167","ENSG00000113578","ENSG00000069702","True","False","True","InnateDB-All","False",0.013,"Podocytes|Fibroblast",0,1.004,"Podocytes","Fibroblast"
"CPI-SS068C742A1","FGF1_TGFBR3","simple:P05230","simple:Q03167","ENSG00000113578","ENSG00000069702","True","False","True","InnateDB-All","False",0.013,"Podocytes|Myofibroblast",0,0.937,"Podocytes","Myofibroblast"
"CPI-SS068C742A1","FGF1_TGFBR3","simple:P05230","simple:Q03167","ENSG00000113578","ENSG00000069702","True","False","True","InnateDB-All","False",0.013,"Podocytes|Pericytes",0,0.932,"Podocytes","Pericytes"
"CPI-SS04B4619D0","TNF_TNFRSF1A","simple:P01375","simple:P19438","ENSG00000232810","ENSG00000067182","True","False","True","curated","False",0.013,"Monocytes|Fibroblast",0,0.334,"Monocytes","Fibroblast"
"CPI-SS04B4619D0","TNF_TNFRSF1A","simple:P01375","simple:P19438","ENSG00000232810","ENSG00000067182","True","False","True","curated","False",0.013,"Monocytes|Myofibroblast",0,0.313,"Monocytes","Myofibroblast"
"CPI-SS04B4619D0","TNF_TNFRSF1A","simple:P01375","simple:P19438","ENSG00000232810","ENSG00000067182","True","False","True","curated","False",0.013,"Monocytes|Pericytes",0,0.288,"Monocytes","Pericytes"
"CPI-SS09CA492BA","EFNA1_EPHA3","simple:P20827","simple:P29320","ENSG00000169242","ENSG00000044524","True","False","True","curated","False",0.013,"Arterioral Endothelium|Myofibroblast",0,0.271,"Arterioral Endothelium","Myofibroblast"
"CPI-SS09CA492BA","EFNA1_EPHA3","simple:P20827","simple:P29320","ENSG00000169242","ENSG00000044524","True","False","True","curated","False",0.013,"Injured Tubule|Myofibroblast",0,0.205,"Injured Tubule","Myofibroblast"
"CPI-SC032246C72","TGFB2_TGFbeta receptor2","simple:P61812","complex:TGFbeta receptor2","ENSG00000092969","","True","False","True","curated","False",0.013,"Podocytes|Myofibroblast",0,0.135,"Podocytes","Myofibroblast"
"CPI-SC032246C72","TGFB2_TGFbeta receptor2","simple:P61812","complex:TGFbeta receptor2","ENSG00000092969","","True","False","True","curated","False",0.013,"Injured Tubule|Myofibroblast",0,0.099,"Injured Tubule","Myofibroblast"
"CPI-CS0BAF97962","PDGFD_PDGFR complex","simple:Q9GZP0","complex:PDGFR complex","ENSG00000170962","","True","False","True","curated","False",0.014,"Arterioral Endothelium|Myofibroblast",0,0.577,"Arterioral Endothelium","Myofibroblast"
"CPI-CS0BAF97962","PDGFD_PDGFR complex","simple:Q9GZP0","complex:PDGFR complex","ENSG00000170962","","True","False","True","curated","False",0.014,"Arterioral Endothelium|Fibroblast",0,0.563,"Arterioral Endothelium","Fibroblast"
"CPI-SS03CC15FF3","PDGFC_PDGFRA","simple:Q9NRA1","simple:P16234","ENSG00000145431","ENSG00000134853","True","False","True","curated","False",0.014,"Myofibroblast|Myofibroblast",0,0.538,"Myofibroblast","Myofibroblast"
"CPI-SS03CC15FF3","PDGFC_PDGFRA","simple:Q9NRA1","simple:P16234","ENSG00000145431","ENSG00000134853","True","False","True","curated","False",0.014,"Podocytes|Myofibroblast",0,0.529,"Podocytes","Myofibroblast"
"CPI-SS03CC15FF3","PDGFC_PDGFRA","simple:Q9NRA1","simple:P16234","ENSG00000145431","ENSG00000134853","True","False","True","curated","False",0.014,"Myofibroblast|Fibroblast",0,0.525,"Myofibroblast","Fibroblast"
"CPI-SS03CC15FF3","PDGFC_PDGFRA","simple:Q9NRA1","simple:P16234","ENSG00000145431","ENSG00000134853","True","False","True","curated","False",0.014,"Podocytes|Fibroblast",0,0.516,"Podocytes","Fibroblast"
"CPI-SS03CC15FF3","PDGFC_PDGFRA","simple:Q9NRA1","simple:P16234","ENSG00000145431","ENSG00000134853","True","False","True","curated","False",0.014,"Monocytes|Myofibroblast",0,0.512,"Monocytes","Myofibroblast"
"CPI-SS03CC15FF3","PDGFC_PDGFRA","simple:Q9NRA1","simple:P16234","ENSG00000145431","ENSG00000134853","True","False","True","curated","False",0.014,"Monocytes|Fibroblast",0,0.498,"Monocytes","Fibroblast"
"CPI-SS03CC15FF3","PDGFC_PDGFRA","simple:Q9NRA1","simple:P16234","ENSG00000145431","ENSG00000134853","True","False","True","curated","False",0.014,"Injured Tubule|Myofibroblast",0,0.497,"Injured Tubule","Myofibroblast"
"CPI-CS0BAF97962","PDGFD_PDGFR complex","simple:Q9GZP0","complex:PDGFR complex","ENSG00000170962","","True","False","True","curated","False",0.014,"Myofibroblast|Myofibroblast",0,0.489,"Myofibroblast","Myofibroblast"
"CPI-SS03CC15FF3","PDGFC_PDGFRA","simple:Q9NRA1","simple:P16234","ENSG00000145431","ENSG00000134853","True","False","True","curated","False",0.014,"Injured Tubule|Fibroblast",0,0.483,"Injured Tubule","Fibroblast"
"CPI-CS0BAF97962","PDGFD_PDGFR complex","simple:Q9GZP0","complex:PDGFR complex","ENSG00000170962","","True","False","True","curated","False",0.014,"Myofibroblast|Fibroblast",0,0.476,"Myofibroblast","Fibroblast"
"CPI-CS0BAF97962","PDGFD_PDGFR complex","simple:Q9GZP0","complex:PDGFR complex","ENSG00000170962","","True","False","True","curated","False",0.014,"Podocytes|Myofibroblast",0,0.475,"Podocytes","Myofibroblast"
"CPI-CS0BAF97962","PDGFD_PDGFR complex","simple:Q9GZP0","complex:PDGFR complex","ENSG00000170962","","True","False","True","curated","False",0.014,"Podocytes|Fibroblast",0,0.461,"Podocytes","Fibroblast"
"CPI-SS048346C2B","LGALS9_MRC2","simple:O00182","simple:Q9UBG0","ENSG00000168961","ENSG00000011028","True","False","True","InnateDB-All","False",0.014,"Dendritic Cells|Myofibroblast",0,0.384,"Dendritic Cells","Myofibroblast"
"CPI-SS048346C2B","LGALS9_MRC2","simple:O00182","simple:Q9UBG0","ENSG00000168961","ENSG00000011028","True","False","True","InnateDB-All","False",0.014,"Monocytes|Myofibroblast",0,0.336,"Monocytes","Myofibroblast"
"CPI-SS048346C2B","LGALS9_MRC2","simple:O00182","simple:Q9UBG0","ENSG00000168961","ENSG00000011028","True","False","True","InnateDB-All","False",0.014,"Dendritic Cells|Fibroblast",0,0.314,"Dendritic Cells","Fibroblast"
"CPI-SS048346C2B","LGALS9_MRC2","simple:O00182","simple:Q9UBG0","ENSG00000168961","ENSG00000011028","True","False","True","InnateDB-All","False",0.014,"Arterioral Endothelium|Myofibroblast",0,0.272,"Arterioral Endothelium","Myofibroblast"
"CPI-SS048346C2B","LGALS9_MRC2","simple:O00182","simple:Q9UBG0","ENSG00000168961","ENSG00000011028","True","False","True","InnateDB-All","False",0.014,"Monocytes|Fibroblast",0,0.266,"Monocytes","Fibroblast"
"CPI-SS048346C2B","LGALS9_MRC2","simple:O00182","simple:Q9UBG0","ENSG00000168961","ENSG00000011028","True","False","True","InnateDB-All","False",0.014,"Arterioral Endothelium|Fibroblast",0,0.202,"Arterioral Endothelium","Fibroblast"
"CPI-SS0F8EFEECF","TNF_DAG1","simple:P01375","simple:Q14118","ENSG00000232810","ENSG00000173402","True","False","True","InnateDB-All","False",0.015,"Monocytes|Myofibroblast",0,0.165,"Monocytes","Myofibroblast"
"CPI-SS070B0E458","IL16_GRIN2A","simple:Q14005","simple:Q12879","ENSG00000172349","ENSG00000183454","True","False","True","I2D","False",0.017,"Dendritic Cells|Fibroblast",0,0.187,"Dendritic Cells","Fibroblast"
"CPI-SS070B0E458","IL16_GRIN2A","simple:Q14005","simple:Q12879","ENSG00000172349","ENSG00000183454","True","False","True","I2D","False",0.017,"Dendritic Cells|Pericytes",0,0.175,"Dendritic Cells","Pericytes"
"CPI-SS03FA58286","TNF_VSIR","simple:P01375","simple:Q9H7M9","ENSG00000232810","ENSG00000107738","True","False","True","IMEx,IntAct","False",0.017,"Monocytes|Myofibroblast",0,0.17,"Monocytes","Myofibroblast"
