"id_cp_interaction","interacting_pair","partner_a","partner_b","gene_a","gene_b","secreted","receptor_a","receptor_b","annotation_strategy","is_integrin","rank","cell1:cell2","pvalue","avgExpr","cell1","cell2"
"CPI-SC0517A327B","COL9A3_a10b1 complex","simple:Q14050","complex:a10b1 complex","ENSG00000092758","","True","False","False","curated","True",0.005,"Schwann Cells|Myofibroblast",0,0.439,"Schwann Cells","Myofibroblast"
"CPI-SS03A0C857B","FASLG_FAS","simple:P48023","simple:P25445","ENSG00000117560","ENSG00000026103","True","False","True","curated","False",0.005,"Natural Killer Cells|Fibroblast",0,0.298,"Natural Killer Cells","Fibroblast"
"CPI-SC0247E9ADB","COL9A2_a11b1 complex","simple:Q14055","complex:a11b1 complex","ENSG00000049089","","True","False","False","curated","True",0.005,"Intercalated Cells|Myofibroblast",0,0.272,"Intercalated Cells","Myofibroblast"
"CPI-SS03A0C857B","FASLG_FAS","simple:P48023","simple:P25445","ENSG00000117560","ENSG00000026103","True","False","True","curated","False",0.005,"Natural Killer Cells|Myofibroblast",0,0.264,"Natural Killer Cells","Myofibroblast"
"CPI-SC0EFCE145F","OMD_aVb3 complex","simple:Q99983","complex:aVb3 complex","ENSG00000127083","","True","False","False","curated","True",0.005,"Myofibroblast|Injured Tubule",0,0.235,"Myofibroblast","Injured Tubule"
"CPI-SC0247E9ADB","COL9A2_a11b1 complex","simple:Q14055","complex:a11b1 complex","ENSG00000049089","","True","False","False","curated","True",0.005,"Collecting Duct Principal Cells|Myofibroblast",0,0.233,"Collecting Duct Principal Cells","Myofibroblast"
"CPI-SS08B7D54A3","TNF_FAS","simple:P01375","simple:P25445","ENSG00000232810","ENSG00000026103","True","False","True","InnateDB-All","False",0.005,"Monocytes|Fibroblast",0,0.232,"Monocytes","Fibroblast"
"CPI-SC0EFCE145F","OMD_aVb3 complex","simple:Q99983","complex:aVb3 complex","ENSG00000127083","","True","False","False","curated","True",0.005,"Myofibroblast|Podocytes",0,0.221,"Myofibroblast","Podocytes"
"CPI-SS08B7D54A3","TNF_FAS","simple:P01375","simple:P25445","ENSG00000232810","ENSG00000026103","True","False","True","InnateDB-All","False",0.005,"Monocytes|Myofibroblast",0,0.198,"Monocytes","Myofibroblast"
"CPI-SC0DF986F22","COL10A1_a11b1 complex","simple:Q03692","complex:a11b1 complex","ENSG00000123500","","True","False","False","curated","True",0.005,"Venular Endothelium|Myofibroblast",0,0.193,"Venular Endothelium","Myofibroblast"
"CPI-SS05D406038","GHRL_PTGIR","simple:Q9UBU3","simple:P43119","ENSG00000157017","ENSG00000160013","True","False","True","InnateDB-All","False",0.005,"Dendritic Cells|Fibroblast",0,0.193,"Dendritic Cells","Fibroblast"
"CPI-SC0DF986F22","COL10A1_a11b1 complex","simple:Q03692","complex:a11b1 complex","ENSG00000123500","","True","False","False","curated","True",0.005,"Myofibroblast|Myofibroblast",0,0.186,"Myofibroblast","Myofibroblast"
"CPI-SS05D406038","GHRL_PTGIR","simple:Q9UBU3","simple:P43119","ENSG00000157017","ENSG00000160013","True","False","True","InnateDB-All","False",0.005,"Dendritic Cells|Pericytes",0,0.186,"Dendritic Cells","Pericytes"
"CPI-SS05D406038","GHRL_PTGIR","simple:Q9UBU3","simple:P43119","ENSG00000157017","ENSG00000160013","True","False","True","InnateDB-All","False",0.005,"Dendritic Cells|Myofibroblast",0,0.177,"Dendritic Cells","Myofibroblast"
"CPI-SC008F4294F","COL7A1_a10b1 complex","simple:Q02388","complex:a10b1 complex","ENSG00000114270","","True","False","False","curated","True",0.005,"Podocytes|Myofibroblast",0,0.16,"Podocytes","Myofibroblast"
"CPI-SC0DF986F22","COL10A1_a11b1 complex","simple:Q03692","complex:a11b1 complex","ENSG00000123500","","True","False","False","curated","True",0.005,"Myofibroblast|Podocytes",0,0.16,"Myofibroblast","Podocytes"
"CPI-SC0EFCE145F","OMD_aVb3 complex","simple:Q99983","complex:aVb3 complex","ENSG00000127083","","True","False","False","curated","True",0.005,"Fibroblast|Injured Tubule",0,0.142,"Fibroblast","Injured Tubule"
"CPI-SC08B1D5269","COL5A3_a10b1 complex","simple:P25940","complex:a10b1 complex","ENSG00000080573","","True","False","False","curated","True",0.005,"Schwann Cells|Myofibroblast",0,0.138,"Schwann Cells","Myofibroblast"
"CPI-CS0EB5F7B6F","CLCF1_CNTF-1R","simple:Q9UBD9","complex:CNTF-1R","ENSG00000175505","","True","False","True","curated","False",0.005,"Injured Tubule|Fibroblast",0,0.134,"Injured Tubule","Fibroblast"
"CPI-CS047EE9E03","BMP5_ACR2A_BMR1A","simple:P22003","complex:BMR1A_ACR2A","ENSG00000112175","","True","False","True","curated","False",0.005,"Myofibroblast|Myofibroblast",0,0.129,"Myofibroblast","Myofibroblast"
"CPI-SC0EFCE145F","OMD_aVb3 complex","simple:Q99983","complex:aVb3 complex","ENSG00000127083","","True","False","False","curated","True",0.005,"Fibroblast|Podocytes",0,0.127,"Fibroblast","Podocytes"
"CPI-CS047EE9E03","BMP5_ACR2A_BMR1A","simple:P22003","complex:BMR1A_ACR2A","ENSG00000112175","","True","False","True","curated","False",0.005,"Fibroblast|Myofibroblast",0,0.118,"Fibroblast","Myofibroblast"
"CPI-CS047EE9E03","BMP5_ACR2A_BMR1A","simple:P22003","complex:BMR1A_ACR2A","ENSG00000112175","","True","False","True","curated","False",0.005,"Myofibroblast|Collecting Duct Principal Cells",0,0.118,"Myofibroblast","Collecting Duct Principal Cells"
"CPI-CS047EE9E03","BMP5_ACR2A_BMR1A","simple:P22003","complex:BMR1A_ACR2A","ENSG00000112175","","True","False","True","curated","False",0.005,"Fibroblast|Collecting Duct Principal Cells",0,0.107,"Fibroblast","Collecting Duct Principal Cells"
"CPI-SC05565E8CE","COL4A6_a10b1 complex","simple:Q14031","complex:a10b1 complex","ENSG00000197565","","True","False","False","curated","True",0.005,"Collecting Duct Principal Cells|Myofibroblast",0,0.106,"Collecting Duct Principal Cells","Myofibroblast"
"CPI-SS091B461CB","CCL28_ACKR2","simple:Q9NRJ3","simple:O00590","ENSG00000151882","ENSG00000144648","True","False","True","I2D","False",0.005,"Myofibroblast|Lymph Endothelium",0,0.104,"Myofibroblast","Lymph Endothelium"
"CPI-CS0EB5F7B6F","CLCF1_CNTF-1R","simple:Q9UBD9","complex:CNTF-1R","ENSG00000175505","","True","False","True","curated","False",0.005,"Descending Thin Limb|Fibroblast",0,0.101,"Descending Thin Limb","Fibroblast"
"CPI-SS064C772FE","CCL28_CCR10","simple:Q9NRJ3","simple:P46092","ENSG00000151882","ENSG00000184451","True","False","True","guidetopharmacology.org","False",0.005,"Myofibroblast|Smooth Muscle Cells",0,0.095,"Myofibroblast","Smooth Muscle Cells"
"CPI-SS0CB6968B9","FGF2_FGFRL1","simple:P09038","simple:Q8N441","ENSG00000138685","ENSG00000127418","True","False","True","I2D","False",0.005,"Myofibroblast|Intercalated Cells",0,0.086,"Myofibroblast","Intercalated Cells"
"CPI-CS05789C9A0","GDF7_ACR2A_BMR1A","simple:Q7Z4P5","complex:BMR1A_ACR2A","ENSG00000143869","","True","False","True","curated","False",0.005,"Descending Thin Limb|Myofibroblast",0,0.082,"Descending Thin Limb","Myofibroblast"
"CPI-CS05789C9A0","GDF7_ACR2A_BMR1A","simple:Q7Z4P5","complex:BMR1A_ACR2A","ENSG00000143869","","True","False","True","curated","False",0.005,"Injured Tubule|Myofibroblast",0,0.072,"Injured Tubule","Myofibroblast"
"CPI-SS0FAF4BB9E","CCL11_DPP4","simple:P51671","simple:P27487","ENSG00000172156","ENSG00000197635","True","False","True","curated","False",0.006,"Myofibroblast|Descending Thin Limb",0,0.272,"Myofibroblast","Descending Thin Limb"
"CPI-SS0FAF4BB9E","CCL11_DPP4","simple:P51671","simple:P27487","ENSG00000172156","ENSG00000197635","True","False","True","curated","False",0.006,"Myofibroblast|Injured Tubule",0,0.271,"Myofibroblast","Injured Tubule"
"CPI-SS0FAF4BB9E","CCL11_DPP4","simple:P51671","simple:P27487","ENSG00000172156","ENSG00000197635","True","False","True","curated","False",0.006,"Myofibroblast|Proximal Tubule",0,0.26,"Myofibroblast","Proximal Tubule"
"CPI-SS0FAF4BB9E","CCL11_DPP4","simple:P51671","simple:P27487","ENSG00000172156","ENSG00000197635","True","False","True","curated","False",0.006,"Myofibroblast|Thick Ascending Limb",0,0.16,"Myofibroblast","Thick Ascending Limb"
"CPI-SS048A2311A","TNF_RIPK1","simple:P01375","simple:Q13546","ENSG00000232810","ENSG00000137275","True","False","True","I2D,IMEx,InnateDB,InnateDB-All,IntAct,MINT","False",0.006,"Monocytes|Myofibroblast",0,0.151,"Monocytes","Myofibroblast"
"CPI-SS0FAF4BB9E","CCL11_DPP4","simple:P51671","simple:P27487","ENSG00000172156","ENSG00000197635","True","False","True","curated","False",0.006,"Myofibroblast|Distal Convoluted Tubule",0,0.142,"Myofibroblast","Distal Convoluted Tubule"
"CPI-SS05162C56B","NTF3_NTRK3","simple:P20783","simple:Q16288","ENSG00000185652","ENSG00000140538","True","False","True","curated","False",0.007,"Pericytes|Smooth Muscle Cells",0,0.487,"Pericytes","Smooth Muscle Cells"
"CPI-SS05162C56B","NTF3_NTRK3","simple:P20783","simple:Q16288","ENSG00000185652","ENSG00000140538","True","False","True","curated","False",0.007,"Fibroblast|Smooth Muscle Cells",0,0.48,"Fibroblast","Smooth Muscle Cells"
"CPI-CS0533A30DC","INHBA_1B2A receptor_ACVR","simple:P08476","complex:ACVR_1B2A receptor","ENSG00000122641","","True","False","True","curated","False",0.007,"Myofibroblast|Myofibroblast",0,0.28,"Myofibroblast","Myofibroblast"
"CPI-SC037C3901A","COL21A1_a11b1 complex","simple:Q96P44","complex:a11b1 complex","ENSG00000124749","","True","False","False","curated","True",0.007,"Schwann Cells|Myofibroblast",0,0.278,"Schwann Cells","Myofibroblast"
"CPI-CS0533A30DC","INHBA_1B2A receptor_ACVR","simple:P08476","complex:ACVR_1B2A receptor","ENSG00000122641","","True","False","True","curated","False",0.007,"Myofibroblast|Collecting Duct Principal Cells",0,0.269,"Myofibroblast","Collecting Duct Principal Cells"
"CPI-SC0092846B0","COL5A1_a11b1 complex","simple:P20908","complex:a11b1 complex","ENSG00000130635","","True","False","False","curated","True",0.007,"Myofibroblast|Myofibroblast",0,0.263,"Myofibroblast","Myofibroblast"
"CPI-SS0BEAB521F","EFNA5_EPHA3","simple:P52803","simple:P29320","ENSG00000184349","ENSG00000044524","True","False","True","curated","False",0.007,"Lymph Endothelium|Myofibroblast",0,0.262,"Lymph Endothelium","Myofibroblast"
"CPI-SC0092846B0","COL5A1_a11b1 complex","simple:P20908","complex:a11b1 complex","ENSG00000130635","","True","False","False","curated","True",0.007,"Schwann Cells|Myofibroblast",0,0.251,"Schwann Cells","Myofibroblast"
"CPI-SC0092846B0","COL5A1_a11b1 complex","simple:P20908","complex:a11b1 complex","ENSG00000130635","","True","False","False","curated","True",0.007,"Myofibroblast|Podocytes",0,0.237,"Myofibroblast","Podocytes"
"CPI-SS0BEAB521F","EFNA5_EPHA3","simple:P52803","simple:P29320","ENSG00000184349","ENSG00000044524","True","False","True","curated","False",0.007,"Descending Thin Limb|Myofibroblast",0,0.228,"Descending Thin Limb","Myofibroblast"
"CPI-SS0BEAB521F","EFNA5_EPHA3","simple:P52803","simple:P29320","ENSG00000184349","ENSG00000044524","True","False","True","curated","False",0.007,"Distal Convoluted Tubule|Myofibroblast",0,0.219,"Distal Convoluted Tubule","Myofibroblast"
"CPI-SC037C3901A","COL21A1_a11b1 complex","simple:Q96P44","complex:a11b1 complex","ENSG00000124749","","True","False","False","curated","True",0.007,"Myofibroblast|Myofibroblast",0,0.216,"Myofibroblast","Myofibroblast"
"CPI-SS0BEAB521F","EFNA5_EPHA3","simple:P52803","simple:P29320","ENSG00000184349","ENSG00000044524","True","False","True","curated","False",0.007,"Intercalated Cells|Myofibroblast",0,0.21,"Intercalated Cells","Myofibroblast"
"CPI-SS05162C56B","NTF3_NTRK3","simple:P20783","simple:Q16288","ENSG00000185652","ENSG00000140538","True","False","True","curated","False",0.007,"Smooth Muscle Cells|Pericytes",0,0.208,"Smooth Muscle Cells","Pericytes"
"CPI-SS05162C56B","NTF3_NTRK3","simple:P20783","simple:Q16288","ENSG00000185652","ENSG00000140538","True","False","True","curated","False",0.007,"Pericytes|Pericytes",0,0.205,"Pericytes","Pericytes"
"CPI-SS05162C56B","NTF3_NTRK3","simple:P20783","simple:Q16288","ENSG00000185652","ENSG00000140538","True","False","True","curated","False",0.007,"Fibroblast|Pericytes",0,0.198,"Fibroblast","Pericytes"
"CPI-SS0BEAB521F","EFNA5_EPHA3","simple:P52803","simple:P29320","ENSG00000184349","ENSG00000044524","True","False","True","curated","False",0.007,"Thick Ascending Limb|Myofibroblast",0,0.191,"Thick Ascending Limb","Myofibroblast"
"CPI-SC037C3901A","COL21A1_a11b1 complex","simple:Q96P44","complex:a11b1 complex","ENSG00000124749","","True","False","False","curated","True",0.007,"Myofibroblast|Podocytes",0,0.19,"Myofibroblast","Podocytes"
"CPI-SS0BEAB521F","EFNA5_EPHA3","simple:P52803","simple:P29320","ENSG00000184349","ENSG00000044524","True","False","True","curated","False",0.007,"Collecting Duct Principal Cells|Myofibroblast",0,0.174,"Collecting Duct Principal Cells","Myofibroblast"
"CPI-SC0092846B0","COL5A1_a11b1 complex","simple:P20908","complex:a11b1 complex","ENSG00000130635","","True","False","False","curated","True",0.007,"Fibroblast|Myofibroblast",0,0.168,"Fibroblast","Myofibroblast"
"CPI-SC037C3901A","COL21A1_a11b1 complex","simple:Q96P44","complex:a11b1 complex","ENSG00000124749","","True","False","False","curated","True",0.007,"Smooth Muscle Cells|Myofibroblast",0,0.16,"Smooth Muscle Cells","Myofibroblast"
"CPI-SS0ADA587B4","NTF3_NGFR","simple:P20783","simple:P08138","ENSG00000185652","ENSG00000064300","True","False","True","curated","False",0.007,"Smooth Muscle Cells|Pericytes",0,0.158,"Smooth Muscle Cells","Pericytes"
"CPI-SS0ADA587B4","NTF3_NGFR","simple:P20783","simple:P08138","ENSG00000185652","ENSG00000064300","True","False","True","curated","False",0.007,"Pericytes|Pericytes",0,0.155,"Pericytes","Pericytes"
"CPI-CS0E1BF543E","BMP5_BMPR2_ACVR1","simple:P22003","complex:ACVR1_BMPR2","ENSG00000112175","","True","False","True","curated","False",0.007,"Myofibroblast|Myofibroblast",0,0.153,"Myofibroblast","Myofibroblast"
"CPI-CS0EC80CA59","BMP5_1A2A receptor_ACVR","simple:P22003","complex:ACVR_1A2A receptor","ENSG00000112175","","True","False","True","curated","False",0.007,"Myofibroblast|Myofibroblast",0,0.153,"Myofibroblast","Myofibroblast"
"CPI-SS0ADA587B4","NTF3_NGFR","simple:P20783","simple:P08138","ENSG00000185652","ENSG00000064300","True","False","True","curated","False",0.007,"Pericytes|Schwann Cells",0,0.15,"Pericytes","Schwann Cells"
"CPI-SS0ADA587B4","NTF3_NGFR","simple:P20783","simple:P08138","ENSG00000185652","ENSG00000064300","True","False","True","curated","False",0.007,"Fibroblast|Pericytes",0,0.148,"Fibroblast","Pericytes"
"CPI-SS0ADA587B4","NTF3_NGFR","simple:P20783","simple:P08138","ENSG00000185652","ENSG00000064300","True","False","True","curated","False",0.007,"Fibroblast|Schwann Cells",0,0.143,"Fibroblast","Schwann Cells"
"CPI-SC0092846B0","COL5A1_a11b1 complex","simple:P20908","complex:a11b1 complex","ENSG00000130635","","True","False","False","curated","True",0.007,"Fibroblast|Podocytes",0,0.142,"Fibroblast","Podocytes"
"CPI-CS0E1BF543E","BMP5_BMPR2_ACVR1","simple:P22003","complex:ACVR1_BMPR2","ENSG00000112175","","True","False","True","curated","False",0.007,"Fibroblast|Myofibroblast",0,0.141,"Fibroblast","Myofibroblast"
"CPI-CS0EC80CA59","BMP5_1A2A receptor_ACVR","simple:P22003","complex:ACVR_1A2A receptor","ENSG00000112175","","True","False","True","curated","False",0.007,"Fibroblast|Myofibroblast",0,0.141,"Fibroblast","Myofibroblast"
"CPI-CS0533A30DC","INHBA_1B2A receptor_ACVR","simple:P08476","complex:ACVR_1B2A receptor","ENSG00000122641","","True","False","True","curated","False",0.007,"Podocytes|Myofibroblast",0,0.122,"Podocytes","Myofibroblast"
"CPI-CS0E1BF543E","BMP5_BMPR2_ACVR1","simple:P22003","complex:ACVR1_BMPR2","ENSG00000112175","","True","False","True","curated","False",0.007,"Myofibroblast|Injured Tubule",0,0.115,"Myofibroblast","Injured Tubule"
"CPI-CS0EC80CA59","BMP5_1A2A receptor_ACVR","simple:P22003","complex:ACVR_1A2A receptor","ENSG00000112175","","True","False","True","curated","False",0.007,"Myofibroblast|Injured Tubule",0,0.115,"Myofibroblast","Injured Tubule"
"CPI-CS0E1BF543E","BMP5_BMPR2_ACVR1","simple:P22003","complex:ACVR1_BMPR2","ENSG00000112175","","True","False","True","curated","False",0.007,"Myofibroblast|Podocytes",0,0.112,"Myofibroblast","Podocytes"
"CPI-CS0EC80CA59","BMP5_1A2A receptor_ACVR","simple:P22003","complex:ACVR_1A2A receptor","ENSG00000112175","","True","False","True","curated","False",0.007,"Myofibroblast|Podocytes",0,0.112,"Myofibroblast","Podocytes"
"CPI-CS0E1BF543E","BMP5_BMPR2_ACVR1","simple:P22003","complex:ACVR1_BMPR2","ENSG00000112175","","True","False","True","curated","False",0.007,"Fibroblast|Injured Tubule",0,0.104,"Fibroblast","Injured Tubule"
"CPI-CS0EC80CA59","BMP5_1A2A receptor_ACVR","simple:P22003","complex:ACVR_1A2A receptor","ENSG00000112175","","True","False","True","curated","False",0.007,"Fibroblast|Injured Tubule",0,0.104,"Fibroblast","Injured Tubule"
"CPI-CS0533A30DC","INHBA_1B2A receptor_ACVR","simple:P08476","complex:ACVR_1B2A receptor","ENSG00000122641","","True","False","True","curated","False",0.007,"Smooth Muscle Cells|Myofibroblast",0,0.103,"Smooth Muscle Cells","Myofibroblast"
"CPI-CS0E1BF543E","BMP5_BMPR2_ACVR1","simple:P22003","complex:ACVR1_BMPR2","ENSG00000112175","","True","False","True","curated","False",0.007,"Fibroblast|Podocytes",0,0.1,"Fibroblast","Podocytes"
"CPI-CS0EC80CA59","BMP5_1A2A receptor_ACVR","simple:P22003","complex:ACVR_1A2A receptor","ENSG00000112175","","True","False","True","curated","False",0.007,"Fibroblast|Podocytes",0,0.1,"Fibroblast","Podocytes"
"CPI-SS0F1A060D4","NECTIN3_PVR","simple:Q9NQS3","simple:P15151","ENSG00000177707","ENSG00000073008","True","False","True","curated","False",0.007,"Myofibroblast|Podocytes",0.024,0.081,"Myofibroblast","Podocytes"
"CPI-SS0F1A060D4","NECTIN3_PVR","simple:Q9NQS3","simple:P15151","ENSG00000177707","ENSG00000073008","True","False","True","curated","False",0.007,"Myofibroblast|Intercalated Cells",0,0.08,"Myofibroblast","Intercalated Cells"
"CPI-SS04E690D72","PTN_PTPRZ1","simple:P21246","simple:P23471","ENSG00000105894","ENSG00000106278","True","False","False","curated","False",0.008,"Myofibroblast|Schwann Cells",0,1.299,"Myofibroblast","Schwann Cells"
"CPI-SS04E690D72","PTN_PTPRZ1","simple:P21246","simple:P23471","ENSG00000105894","ENSG00000106278","True","False","False","curated","False",0.008,"Fibroblast|Schwann Cells",0,1.13,"Fibroblast","Schwann Cells"
"CPI-SS04E690D72","PTN_PTPRZ1","simple:P21246","simple:P23471","ENSG00000105894","ENSG00000106278","True","False","False","curated","False",0.008,"Pericytes|Schwann Cells",0,0.565,"Pericytes","Schwann Cells"
"CPI-SS0D46E2B45","TGFB3_TGFBR3","simple:P10600","simple:Q03167","ENSG00000119699","ENSG00000069702","True","False","True","curated","False",0.008,"Smooth Muscle Cells|Fibroblast",0,0.199,"Smooth Muscle Cells","Fibroblast"
"CPI-SS0893BD6B6","IL16_GRIN2C","simple:Q14005","simple:Q14957","ENSG00000172349","ENSG00000161509","True","False","True","I2D","False",0.008,"Myofibroblast|Schwann Cells",0,0.115,"Myofibroblast","Schwann Cells"
