Gene	Cell_Type	Cell_Type2	Source
GLS	Proximal Tubule Epithelial Cells (S2)	Epithelial	Lake2019
WDR60	Proximal Tubule Epithelial Cells (S2)	Epithelial	Lake2019
VPS13A	Proximal Tubule Epithelial Cells (S2)	Epithelial	Lake2019
SASH1	Proximal Tubule Epithelial Cells (S2)	Epithelial	Lake2019
VWA8	Proximal Tubule Epithelial Cells (S2)	Epithelial	Lake2019
BRE	Proximal Tubule Epithelial Cells (S2)	Epithelial	Lake2019
AL133247.2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
GRIN2B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
DRD3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PRSS51	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
AC012512.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RNA5SP475	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RP1-267D11.6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RRH	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
KLHDC8A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ADAMTS8	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RP11-382A20.4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LINC00635	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ANK1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RP11-736N17.8	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LINC01255	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RP11-286M16.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
DNAH2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
BTNL10	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
AC002463.3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
GACAT3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CTB-171A8.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CSMD2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
GNGT2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CTD-2378E12.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RP11-1157N2__B.2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
GABBR2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LINC00402	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
IL36B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LINGO1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RP11-282I1.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
TEX36	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CDON	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
FRMD6-AS2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
TMEM214	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC26A3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
EPHA8	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LRFN2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
DPP10	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CAMK4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CLUAP1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PTMS	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
AFM	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RASGEF1B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
AL163953.3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RP5-881L22.5	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
FXR2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ZNF614	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PDHX	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
C2orf27A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
FSIP1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PARP10	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PTH1R	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
MOGAT1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LINC01322	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CCDC149	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC22A11	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
MARK2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
TTC23L	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LINC00893	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
AC007682.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PLG	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LRRC4C	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RUNX1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CTC-260E6.6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
GRAMD1B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
WDR19	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LINC00276	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CTD-2269F5.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC28A1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
NFIX	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CLTC	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ASS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CNTNAP2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
TENM2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SMIM24	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
AC004870.3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
C11orf65	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CSMD1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ABCC2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
NRP1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
AGMO	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ENPP6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC5A12	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
DNM1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CYP2R1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RAB11FIP3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
MMP15	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CUBN	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
UPB1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
DAB1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CNTN1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
GUSBP11	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
NRSN2-AS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
INSR	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC7A7	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
MIR100HG	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
NSMF	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SORCS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PCDH15	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC22A7	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
URGCP	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SAFB2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RNF220	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PAPPA2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
AFMID	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
KMT2B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC22A12	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ASPSCR1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC7A8	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
MIOX	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
MACROD2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RP11-798K3.2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LINC00671	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC13A3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
FAM46A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SMIM2-AS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CFAP46	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
AC009120.6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RNF212B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LENG8	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
BRD9	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
HPN	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
GPX3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ACSM2B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PLEKHA6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
MAPT	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
KIAA1919	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
TNS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
TMEM63A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RP11-665G4.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
MTRNR2L1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RP11-556I14.2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
OTUD7A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
BCOR	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RP11-556I14.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PPARA	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ABAT	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
DHTKD1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ZBED3-AS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
EYA2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
MLXIPL	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SRRM2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SIPA1L3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
C19orf12	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ACSM2A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
TENM4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PCK1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
USH1C	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ANKS1B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SHISA6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LUC7L3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LARGE	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC2A9	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PDZD2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RP11-479O9.4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
DHRS3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
MCTP1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
NSUN6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LINC01239	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC16A9	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
METTL7A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
AGXT2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ANPEP	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
KCNK5	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CYP4A22-AS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LINC01060	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PDE4D	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PGPEP1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
BBS9	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
AP3D1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
KIF12	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
EPHX2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CYP3A5	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
GLIS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
COL27A1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
TCEA3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
TIMM23B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RASSF4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ACSF2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RBM25	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ZBTB16	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RGN	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
DNM2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PRODH2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
DCC	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
COL4A1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CTNNA3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC39A11	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LARP1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LINC00871	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
VDR	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LRP2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ASPA	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
KIFC3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
AC026188.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
TRPM3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
UPP2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
HOOK2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PRUNE2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
C9orf85	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
HNF1A-AS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PPP1R16B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RP11-66B24.5	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SUGCT	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
TOB2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
IL1RAPL2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
AQP4-AS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
AK4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
GALM	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
BNIP3L	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
OPHN1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ZC4H2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
HECW1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
BRD4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
NFIC	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
KIAA1549	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CACNA1C	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
THOC2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RP11-37B2.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC22A6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
MME	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CCND3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ROBO2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LINC00894	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
STX8	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CTD-3179P9.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC16A12	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
FGGY	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CRYL1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
UNC13B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
MYRIP	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
MAOB	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
TNRC6C	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ZC3H13	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ATXN7L1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CCDC191	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
NFE2L1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
GON4L	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
MYO6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC16A10	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
FKBP5	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
BAZ2A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LINC00907	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RP11-106M3.2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
MAL2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PFKL	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC36A2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
NCKAP5	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
NRG1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
NELL1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SREK1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
TPCN1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ZNF804B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
NHS	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PPM1L	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
DPYS	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
TRABD2B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
UPF2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SHANK2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CDR2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LINC01515	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PIGL	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
UBN1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ZMAT1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
TNRC6A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RBM6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CMBL	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC4A4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
UPF3B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CSPP1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
MAP3K13	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ALDOB	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
DZIP1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLIT3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC13A1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
POR	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SRRT	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
GADD45A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RAPGEF3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LIN52	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
GTF2IRD1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PPP6R2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
EBNA1BP2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC17A1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
CHRM3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RP1-78O14.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
LSAMP	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RIMS2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RHOBTB1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
TTTY14	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
PIP5K1A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ZNF708	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC47A1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SPEF2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC43A2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
RNF152	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
TLN2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ALDH6A1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
NQO2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
C4orf19	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ADGRV1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
GMDS-AS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
FRMD4B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
BHMT	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
TPD52	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ANKRD11	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
NR6A1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
ACACB	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
SLC1A1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial	Lake2019
