Gene	Cell_Type	Cell_Type2	Source
Ptprc	Dendritic Cell	Hematopoietic	Clark2019
Adgre1	Dendritic Cell	Hematopoietic	Clark2019
Cd8A	Dendritic Cell	Hematopoietic	Clark2019
Cx3cr1	Dendritic Cell	Hematopoietic	Clark2019
Itgam	Dendritic Cell	Hematopoietic	Clark2019
Itgax	Dendritic Cell	Hematopoietic	Clark2019
Ccl17	Dendritic Cell	Hematopoietic	Clark2019
Itgae	Dendritic Cell	Hematopoietic	Clark2019
Ly75	Dendritic Cell	Hematopoietic	Clark2019
Cd207	Dendritic Cell	Hematopoietic	Clark2019
Pdcd1lg2	Dendritic Cell	Hematopoietic	Clark2019
Cd33	Basophil	Hematopoietic	Clark2019
Il3ra	Basophil	Hematopoietic	Clark2019
Cd44	Basophil	Hematopoietic	Clark2019
Cd69	Basophil	Hematopoietic	Clark2019
Ccr3	Basophil	Hematopoietic	Clark2019
Nt5e	B-lymphocytes (memory)	Hematopoietic	Clark2019
Cd38	B-lymphocytes (memory)	Hematopoietic	Clark2019
Ptprc	B-lymphocytes (memory)	Hematopoietic	Clark2019
Cd86	B-lymphocytes (memory)	Hematopoietic	Clark2019
Cd84	B-lymphocytes (memory)	Hematopoietic	Clark2019
Spib	B-lymphocytes (memory)	Hematopoietic	Clark2019
Pax5	B-lymphocytes (memory)	Hematopoietic	Clark2019
Cd80	B-lymphocytes (memory)	Hematopoietic	Clark2019
Cd38	B-lymphocytes (follicular)	Hematopoietic	Clark2019
Ptprc	B-lymphocytes (follicular)	Hematopoietic	Clark2019
Cd22	B-lymphocytes (follicular)	Hematopoietic	Clark2019
Fcer2a	B-lymphocytes (follicular)	Hematopoietic	Clark2019
Pax5	B-lymphocytes (follicular)	Hematopoietic	Clark2019
Cd79b	B-lymphocytes	Hematopoietic	Clark2019
Cd79a	B-lymphocytes	Hematopoietic	Clark2019
Cd19	B-lymphocytes	Hematopoietic	Clark2019
Acta2	Smooth Muscle Cell	SMC	Clark2019
Smtn	Smooth Muscle Cell	SMC	Clark2019
Tagln	Smooth Muscle Cell	SMC	Clark2019
Myh11	Smooth Muscle Cell	SMC	Clark2019
Cnn1	Smooth Muscle Cell	SMC	Clark2019
Alpl	Pericyte	SMC	Clark2019
Nt5e	Pericyte	SMC	Clark2019
Mfge8	Pericyte	SMC	Clark2019
Acta2	Pericyte	SMC	Clark2019
Tek	Pericyte	SMC	Clark2019
Angpt2	Pericyte	SMC	Clark2019
Mcam	Pericyte	SMC	Clark2019
Cspg4	Pericyte	SMC	Clark2019
Tbx18	Pericyte	SMC	Clark2019
Acta2	Myofibroblast	SMC	Clark2019
Pawr	Mesangial Cells	SMC	Clark2019
Tek	Mesangial Cells	SMC	Clark2019
Serpine2	Mesangial Cells	SMC	Clark2019
Pdgfrb	Mesangial Cells	SMC	Clark2019
Gata3	Mesangial Cells	SMC	Clark2019
Arid5b	Mesangial Cells	SMC	Clark2019
Fn1	Mesangial Cells	SMC	Clark2019
Itga8	Mesangial Cells	SMC	Clark2019
Ptn	Mesangial Cells	SMC	Clark2019
Ccr7	Mesangial Cells	SMC	Clark2019
Thy1	Mesangial Cells	SMC	Clark2019
Tbx18	Mesangial Cells	SMC	Clark2019
Ptgs2	Interstitial Cells (Medullary) 	SMC	Clark2019
Nt5e	Interstitial Cells (Cortical) 	SMC	Clark2019
Foxd1	Interstitial Cells (Cortical) 	SMC	Clark2019
Epo	Interstitial Cells (Cortical) 	SMC	Clark2019
Nt5e	Fibroblast	SMC	Clark2019
Pdgfrb	Fibroblast	SMC	Clark2019
S100a4	Fibroblast	SMC	Clark2019
Col1A1	Fibroblast	SMC	Clark2019
Upk3a	Transitional Epithelial	Epithelial	Clark2019
Upk1a	Transitional Epithelial	Epithelial	Clark2019
Upk1b	Transitional Epithelial	Epithelial	Clark2019
Upk2	Transitional Epithelial	Epithelial	Clark2019
Upk3b	Transitional Epithelial	Epithelial	Clark2019
Clcnka	Thin Ascending Limb	Epithelial	Clark2019
Cdkn1c	Thin Ascending Limb	Epithelial	Clark2019
Nek6	Thin Ascending Limb	Epithelial	Clark2019
Calcrl	Thin Ascending Limb	Epithelial	Clark2019
Dram1	Thin Ascending Limb	Epithelial	Clark2019
Pcsk9	Thin Ascending Limb	Epithelial	Clark2019
Arc	Thin Ascending Limb	Epithelial	Clark2019
Nrgn	Thin Ascending Limb	Epithelial	Clark2019
Rnf182	Thin Ascending Limb	Epithelial	Clark2019
Mir24-2	Thin Ascending Limb	Epithelial	Clark2019
Umod	Thick Ascending Limb	Epithelial	Clark2019
Slc12a1	Thick Ascending Limb	Epithelial	Clark2019
Ppp1r1b	Thick Ascending Limb	Epithelial	Clark2019
Lrrc66	Thick Ascending Limb	Epithelial	Clark2019
Irx2	Thick Ascending Limb	Epithelial	Clark2019
Smarcd3	Thick Ascending Limb	Epithelial	Clark2019
Igf1	Thick Ascending Limb	Epithelial	Clark2019
Kcnt1	Thick Ascending Limb	Epithelial	Clark2019
Lipg	Thick Ascending Limb	Epithelial	Clark2019
Ptgs2	Thick Ascending Limb	Epithelial	Clark2019
Tnni1	Thick Ascending Limb	Epithelial	Clark2019
Cyp4b1	Short Loop Descending Limb	Epithelial	Clark2019
Rgs5	Short Loop Descending Limb	Epithelial	Clark2019
Parvb	Short Loop Descending Limb	Epithelial	Clark2019
Cox4i2	Short Loop Descending Limb	Epithelial	Clark2019
Hey2	Short Loop Descending Limb	Epithelial	Clark2019
Sh3rf2	Short Loop Descending Limb	Epithelial	Clark2019
Slc22a13	Proximal (S3)	Epithelial	Clark2019
Gc	Proximal (S3)	Epithelial	Clark2019
Slc23a3	Proximal (S3)	Epithelial	Clark2019
Tgfbi	Proximal (S3)	Epithelial	Clark2019
Rbp4	Proximal (S3)	Epithelial	Clark2019
Gng13	Proximal (S3)	Epithelial	Clark2019
Tff3	Proximal (S3)	Epithelial	Clark2019
Cacng5	Proximal (S3)	Epithelial	Clark2019
Kap	Proximal (S2)	Epithelial	Clark2019
Slc7a13	Proximal (S2)	Epithelial	Clark2019
Slc17a3	Proximal (S2)	Epithelial	Clark2019
Hgd	Proximal (S2)	Epithelial	Clark2019
Serpinf2	Proximal (S2)	Epithelial	Clark2019
Haao	Proximal (S2)	Epithelial	Clark2019
Hsd11b1	Proximal (S2)	Epithelial	Clark2019
Slco1a6	Proximal (S2)	Epithelial	Clark2019
Ppic	Proximal (S2)	Epithelial	Clark2019
Osgin1	Proximal (S2)	Epithelial	Clark2019
Slc5a1	Proximal (S2)	Epithelial	Clark2019
Slc5a2	Proximal (S1)	Epithelial	Clark2019
Apoe	Proximal (S1)	Epithelial	Clark2019
Nme4	Proximal (S1)	Epithelial	Clark2019
Cyp2e1	Proximal (General)	Epithelial	Clark2019
Sord	Proximal (General)	Epithelial	Clark2019
Pdzk1	Proximal (General)	Epithelial	Clark2019
Glyat	Proximal (General)	Epithelial	Clark2019
Cryl1	Proximal (General)	Epithelial	Clark2019
Sod3	Proximal (General)	Epithelial	Clark2019
Gsta2	Proximal (General)	Epithelial	Clark2019
Hnf4a	Proximal (General)	Epithelial	Clark2019
Upb1	Proximal (General)	Epithelial	Clark2019
Agxt2	Proximal (General)	Epithelial	Clark2019
Nphs2	Podocyte	Epithelial	Clark2019
podxl	Podocyte	Epithelial	Clark2019
Cd2ap	Podocyte	Epithelial	Clark2019
Wt1	Podocyte	Epithelial	Clark2019
Nphs1	Podocyte	Epithelial	Clark2019
Ptgs2	Macula Densa	Epithelial	Clark2019
Oxtr	Macula Densa	Epithelial	Clark2019
Nos1	Macula Densa	Epithelial	Clark2019
Adamts5	Long Descending Limb (Outer Medulla)	Epithelial	Clark2019
Nkain4	Long Descending Limb (Outer Medulla)	Epithelial	Clark2019
Fga	Long Descending Limb (Inner Medulla)	Epithelial	Clark2019
Slc14a2	Long Descending Limb (Inner Medulla)	Epithelial	Clark2019
Pla2g7	Long Descending Limb (Inner Medulla)	Epithelial	Clark2019
Thbs1	Long Descending Limb (Inner Medulla)	Epithelial	Clark2019
Gem	Long Descending Limb (Inner Medulla)	Epithelial	Clark2019
Cxcl1	Long Descending Limb (Inner Medulla)	Epithelial	Clark2019
Spsb1	Long Descending Limb (Inner Medulla)	Epithelial	Clark2019
Arid5a	Long Descending Limb (Inner Medulla)	Epithelial	Clark2019
Cd40	Long Descending Limb (Inner Medulla)	Epithelial	Clark2019
Enc1	Long Descending Limb (Inner Medulla)	Epithelial	Clark2019
Plekhb1	Inner Medullary Collecting Duct	Epithelial	Clark2019
Slc14a2	Inner Medullary Collecting Duct	Epithelial	Clark2019
Slfn2	Inner Medullary Collecting Duct	Epithelial	Clark2019
Tm6sf1	Inner Medullary Collecting Duct	Epithelial	Clark2019
S100a4	Inner Medullary Collecting Duct	Epithelial	Clark2019
Aldh1a3	Inner Medullary Collecting Duct	Epithelial	Clark2019
Akr1b8	Inner Medullary Collecting Duct	Epithelial	Clark2019
Ccl2	Inner Medullary Collecting Duct	Epithelial	Clark2019
Fam20a	Inner Medullary Collecting Duct	Epithelial	Clark2019
Elf5	Inner Medullary Collecting Duct	Epithelial	Clark2019
Ccl7	Inner Medullary Collecting Duct	Epithelial	Clark2019
Gpha2	Inner Medullary Collecting Duct	Epithelial	Clark2019
Ren1	Granular cell of afferent arteriole	Epithelial	Clark2019
Agtr1a	Granular cell of afferent arteriole	Epithelial	Clark2019
Adrb1	Granular cell of afferent arteriole	Epithelial	Clark2019
Slc12a3	Distal Convoluted Tubule	Epithelial	Clark2019
Pcolce	Distal Convoluted Tubule	Epithelial	Clark2019
Cdc42ep3	Distal Convoluted Tubule	Epithelial	Clark2019
Plekho1	Distal Convoluted Tubule	Epithelial	Clark2019
Clec4a3	Distal Convoluted Tubule	Epithelial	Clark2019
Kcng1	Distal Convoluted Tubule	Epithelial	Clark2019
Gfra1	Distal Convoluted Tubule	Epithelial	Clark2019
Fetub	Distal Convoluted Tubule	Epithelial	Clark2019
Sgca	Distal Convoluted Tubule	Epithelial	Clark2019
Mlana	Distal Convoluted Tubule	Epithelial	Clark2019
Calb1	Connecting Tubule	Epithelial	Clark2019
Trpv5	Connecting Tubule	Epithelial	Clark2019
Stap1	Connecting Tubule	Epithelial	Clark2019
Fam89a	Connecting Tubule	Epithelial	Clark2019
Ccl20	Connecting Tubule	Epithelial	Clark2019
Defb9	Connecting Tubule	Epithelial	Clark2019
Aqp2	Collecting Duct Principal Cells	Epithelial	Clark2019
Fxyd4	Collecting Duct Principal Cells	Epithelial	Clark2019
Aqp3	Collecting Duct Principal Cells	Epithelial	Clark2019
Lgals3	Collecting Duct Principal Cells	Epithelial	Clark2019
Tspan1	Collecting Duct Principal Cells	Epithelial	Clark2019
Tmem45b	Collecting Duct Principal Cells	Epithelial	Clark2019
Avpr2	Collecting Duct Principal Cells	Epithelial	Clark2019
Ptges	Collecting Duct Principal Cells	Epithelial	Clark2019
Fzd1	Collecting Duct Principal Cells	Epithelial	Clark2019
Aqp4	Collecting Duct Principal Cells	Epithelial	Clark2019
Acer2	Collecting Duct Principal Cells	Epithelial	Clark2019
Gata3	Collecting Duct Principal Cells	Epithelial	Clark2019
Stc1	Collecting Duct Principal Cells	Epithelial	Clark2019
Cd34	Endothelial Cell (Lymphatic)	Endothelial	Clark2019
Pecam1	Endothelial Cell (Lymphatic)	Endothelial	Clark2019
Pdpn	Endothelial Cell (Lymphatic)	Endothelial	Clark2019
Prox1	Endothelial Cell (Lymphatic)	Endothelial	Clark2019
