Gene	Cell Type	General Cell Type
Pax5	B-lymphocytes (follicular)	Hematopoietic
Cd79b	B-lymphocytes	Hematopoietic
Cd79a	B-lymphocytes	Hematopoietic
Cd19	B-lymphocytes	Hematopoietic
Acta2	Smooth Muscle Cell	SMC
Smtn	Smooth Muscle Cell	SMC
Tagln	Smooth Muscle Cell	SMC
Myh11	Smooth Muscle Cell	SMC
Cnn1	Smooth Muscle Cell	SMC
Alpl	Pericyte	SMC
Nt5e	Pericyte	SMC
Mfge8	Pericyte	SMC
Acta2	Pericyte	SMC
Tek	Pericyte	SMC
Angpt2	Pericyte	SMC
Mcam	Pericyte	SMC
Cspg4	Pericyte	SMC
Tbx18	Pericyte	SMC
Acta2	Myofibroblast	SMC
Pawr	Mesangial Cells	SMC
Tek	Mesangial Cells	SMC
Serpine2	Mesangial Cells	SMC
Pdgfrb	Mesangial Cells	SMC
Gata3	Mesangial Cells	SMC
Arid5b	Mesangial Cells	SMC
Fn1	Mesangial Cells	SMC
Itga8	Mesangial Cells	SMC
Ptn	Mesangial Cells	SMC
Ccr7	Mesangial Cells	SMC
Thy1	Mesangial Cells	SMC
Tbx18	Mesangial Cells	SMC
Ptgs2	Interstitial Cells (Medullary) 	SMC
Nt5e	Interstitial Cells (Cortical) 	SMC
Foxd1	Interstitial Cells (Cortical) 	SMC
Epo	Interstitial Cells (Cortical) 	SMC
Nt5e	Fibroblast	SMC
Pdgfrb	Fibroblast	SMC
S100a4	Fibroblast	SMC
Col1A1	Fibroblast	SMC
Upk3a	Transitional Epithelial	Epithelial
Upk1a	Transitional Epithelial	Epithelial
Upk1b	Transitional Epithelial	Epithelial
Upk2	Transitional Epithelial	Epithelial
Upk3b	Transitional Epithelial	Epithelial
Clcnka	Thin Ascending Limb	Epithelial
Cdkn1c	Thin Ascending Limb	Epithelial
Nek6	Thin Ascending Limb	Epithelial
Calcrl	Thin Ascending Limb	Epithelial
Dram1	Thin Ascending Limb	Epithelial
Pcsk9	Thin Ascending Limb	Epithelial
Arc	Thin Ascending Limb	Epithelial
Nrgn	Thin Ascending Limb	Epithelial
Rnf182	Thin Ascending Limb	Epithelial
Mir24-2	Thin Ascending Limb	Epithelial
Umod	Thick Ascending Limb	Epithelial
Slc12a1	Thick Ascending Limb	Epithelial
Ppp1r1b	Thick Ascending Limb	Epithelial
Lrrc66	Thick Ascending Limb	Epithelial
Irx2	Thick Ascending Limb	Epithelial
Smarcd3	Thick Ascending Limb	Epithelial
Igf1	Thick Ascending Limb	Epithelial
Kcnt1	Thick Ascending Limb	Epithelial
Lipg	Thick Ascending Limb	Epithelial
Ptgs2	Thick Ascending Limb	Epithelial
Tnni1	Thick Ascending Limb	Epithelial
Cyp4b1	Short Loop Descending Limb	Epithelial
Rgs5	Short Loop Descending Limb	Epithelial
Parvb	Short Loop Descending Limb	Epithelial
Cox4i2	Short Loop Descending Limb	Epithelial
Hey2	Short Loop Descending Limb	Epithelial
Sh3rf2	Short Loop Descending Limb	Epithelial
Slc22a13	Proximal (S3)	Epithelial
Gc	Proximal (S3)	Epithelial
Slc23a3	Proximal (S3)	Epithelial
Tgfbi	Proximal (S3)	Epithelial
Rbp4	Proximal (S3)	Epithelial
Gng13	Proximal (S3)	Epithelial
Tff3	Proximal (S3)	Epithelial
Cacng5	Proximal (S3)	Epithelial
Kap	Proximal (S2)	Epithelial
Slc7a13	Proximal (S2)	Epithelial
Slc17a3	Proximal (S2)	Epithelial
Hgd	Proximal (S2)	Epithelial
Serpinf2	Proximal (S2)	Epithelial
Haao	Proximal (S2)	Epithelial
Hsd11b1	Proximal (S2)	Epithelial
Slco1a6	Proximal (S2)	Epithelial
Ppic	Proximal (S2)	Epithelial
Osgin1	Proximal (S2)	Epithelial
Slc5a1	Proximal (S2)	Epithelial
Slc5a2	Proximal (S1)	Epithelial
Apoe	Proximal (S1)	Epithelial
Nme4	Proximal (S1)	Epithelial
Cyp2e1	Proximal (General)	Epithelial
Sord	Proximal (General)	Epithelial
Pdzk1	Proximal (General)	Epithelial
Glyat	Proximal (General)	Epithelial
Cryl1	Proximal (General)	Epithelial
Sod3	Proximal (General)	Epithelial
Gsta2	Proximal (General)	Epithelial
Hnf4a	Proximal (General)	Epithelial
Upb1	Proximal (General)	Epithelial
Agxt2	Proximal (General)	Epithelial
Nphs2	Podocyte	Epithelial
podxl	Podocyte	Epithelial
Cd2ap	Podocyte	Epithelial
Wt1	Podocyte	Epithelial
Nphs1	Podocyte	Epithelial
Ptgs2	Macula Densa	Epithelial
Oxtr	Macula Densa	Epithelial
Nos1	Macula Densa	Epithelial
Adamts5	Long Descending Limb (Outer Medulla)	Epithelial
Nkain4	Long Descending Limb (Outer Medulla)	Epithelial
Fga	Long Descending Limb (Inner Medulla)	Epithelial
Slc14a2	Long Descending Limb (Inner Medulla)	Epithelial
Pla2g7	Long Descending Limb (Inner Medulla)	Epithelial
Thbs1	Long Descending Limb (Inner Medulla)	Epithelial
Gem	Long Descending Limb (Inner Medulla)	Epithelial
Cxcl1	Long Descending Limb (Inner Medulla)	Epithelial
Spsb1	Long Descending Limb (Inner Medulla)	Epithelial
Arid5a	Long Descending Limb (Inner Medulla)	Epithelial
Cd40	Long Descending Limb (Inner Medulla)	Epithelial
Enc1	Long Descending Limb (Inner Medulla)	Epithelial
Plekhb1	Inner Medullary Collecting Duct	Epithelial
Slc14a2	Inner Medullary Collecting Duct	Epithelial
Slfn2	Inner Medullary Collecting Duct	Epithelial
Tm6sf1	Inner Medullary Collecting Duct	Epithelial
S100a4	Inner Medullary Collecting Duct	Epithelial
