Gene	Cell Type	General Cell Type
FRMD6-AS2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TMEM214	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC26A3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
EPHA8	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LRFN2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
DPP10	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CAMK4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CLUAP1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PTMS	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AFM	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RASGEF1B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AL163953.3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RP5-881L22.5	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
FXR2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ZNF614	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PDHX	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
C2orf27A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
FSIP1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PARP10	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PTH1R	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MOGAT1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LINC01322	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CCDC149	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC22A11	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MARK2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TTC23L	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LINC00893	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AC007682.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PLG	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LRRC4C	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RUNX1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CTC-260E6.6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
GRAMD1B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
WDR19	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LINC00276	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CTD-2269F5.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC28A1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
NFIX	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CLTC	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ASS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CNTNAP2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TENM2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SMIM24	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AC004870.3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
C11orf65	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CSMD1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ABCC2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
NRP1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AGMO	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ENPP6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC5A12	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
DNM1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CYP2R1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RAB11FIP3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MMP15	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CUBN	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
UPB1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
DAB1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CNTN1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
GUSBP11	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
NRSN2-AS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
INSR	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC7A7	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MIR100HG	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
NSMF	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SORCS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PCDH15	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC22A7	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
URGCP	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SAFB2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RNF220	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PAPPA2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AFMID	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
KMT2B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC22A12	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ASPSCR1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC7A8	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MIOX	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MACROD2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RP11-798K3.2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LINC00671	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC13A3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
FAM46A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SMIM2-AS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CFAP46	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AC009120.6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RNF212B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LENG8	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
BRD9	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
HPN	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
GPX3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ACSM2B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PLEKHA6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MAPT	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
KIAA1919	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TNS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TMEM63A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RP11-665G4.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MTRNR2L1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RP11-556I14.2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
OTUD7A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
BCOR	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RP11-556I14.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PPARA	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ABAT	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
DHTKD1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ZBED3-AS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
EYA2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MLXIPL	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SRRM2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SIPA1L3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
C19orf12	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ACSM2A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TENM4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PCK1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
USH1C	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ANKS1B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SHISA6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LUC7L3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LARGE	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC2A9	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PDZD2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RP11-479O9.4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
DHRS3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MCTP1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
NSUN6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LINC01239	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC16A9	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
METTL7A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AGXT2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ANPEP	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
KCNK5	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CYP4A22-AS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LINC01060	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PDE4D	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PGPEP1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
BBS9	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AP3D1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
KIF12	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
EPHX2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CYP3A5	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
GLIS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
COL27A1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TCEA3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TIMM23B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RASSF4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ACSF2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RBM25	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ZBTB16	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RGN	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
DNM2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PRODH2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
DCC	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
COL4A1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CTNNA3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC39A11	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LARP1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LINC00871	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
VDR	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LRP2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ASPA	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
KIFC3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AC026188.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TRPM3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
UPP2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
HOOK2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PRUNE2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
C9orf85	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
HNF1A-AS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PPP1R16B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RP11-66B24.5	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SUGCT	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TOB2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
IL1RAPL2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AQP4-AS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AK4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
GALM	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
BNIP3L	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
OPHN1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ZC4H2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
HECW1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
BRD4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
NFIC	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
KIAA1549	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CACNA1C	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
THOC2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RP11-37B2.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC22A6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MME	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CCND3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ROBO2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LINC00894	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
STX8	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CTD-3179P9.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC16A12	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
FGGY	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CRYL1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
UNC13B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MYRIP	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MAOB	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TNRC6C	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ZC3H13	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ATXN7L1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CCDC191	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
NFE2L1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
GON4L	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MYO6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC16A10	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
FKBP5	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
BAZ2A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LINC00907	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RP11-106M3.2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MAL2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PFKL	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC36A2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
NCKAP5	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
NRG1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
NELL1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SREK1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TPCN1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ZNF804B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
NHS	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PPM1L	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
DPYS	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TRABD2B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
UPF2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SHANK2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CDR2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LINC01515	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PIGL	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
UBN1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ZMAT1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TNRC6A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RBM6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CMBL	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC4A4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
UPF3B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CSPP1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MAP3K13	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ALDOB	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
DZIP1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLIT3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC13A1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
POR	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SRRT	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
GADD45A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RAPGEF3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LIN52	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
GTF2IRD1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PPP6R2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
EBNA1BP2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC17A1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CHRM3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RP1-78O14.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LSAMP	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RIMS2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RHOBTB1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TTTY14	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PIP5K1A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ZNF708	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC47A1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SPEF2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC43A2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RNF152	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TLN2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ALDH6A1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
NQO2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
C4orf19	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ADGRV1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
GMDS-AS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
FRMD4B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
BHMT	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TPD52	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ANKRD11	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
NR6A1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ACACB	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SLC1A1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
KDM2A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
NCOR1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SNX29	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
DOK6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
WDR60	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CUX1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ENOX1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
FMN1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PRLR	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
DMD	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
FAM227B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AK9	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CHD2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ZNF826P	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PHF20	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
KAT6B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
WDR13	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
GCNT2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
BCL2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TAPT1-AS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
WWOX	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PPP1R21	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CCAR1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
KCNJ15	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PLCG2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SMG6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CACNA1D	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SHROOM4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PHF14	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PRRC2C	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CRADD	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
OPTN	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
EPS8L2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RGL3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ASTN2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PLEKHA7	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ADD1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TCF25	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PRKAG2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ZNF91	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
WIPF1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
KIAA1671	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SAMD5	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
UBE4B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AIG1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AC012593.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ENOSF1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CNTN4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TMEM232	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SORBS2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TFDP2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ULK4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
FRAS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ARHGAP26	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CTSH	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ACIN1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
FRMD4A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AC002539.1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LL22NC03-2H8.5	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ARHGAP10	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
IGF2BP2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
NT5C2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RIN2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SMARCC1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LINC00969	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PAX2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RBM47	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
NUMB	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
DLG2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AGPAT3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SUCLG2-AS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ITSN1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ATP2A2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PRKRIP1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
GHR	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PCSK5	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SUCLG1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MDN1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MSRA	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ARHGAP42	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
OSBPL1A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PRPF38B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
FRMD3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CCDC64	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PNISR	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
HIP1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SRSF11	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CYTH1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
