genes,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000170345.9;FOS,FOS,1.13983277475762,6.88409848179496,19.2948033705348,2.63838191685644e-09,2.57466499356435e-05,11.9589833283338
ENSG00000115461.4;IGFBP5,IGFBP5,-1.02256860405111,8.67296514743924,-17.1321330383378,8.4877718516826e-09,5.52186144097631e-05,10.9330128811652
ENSG00000124762.13;CDKN1A,CDKN1A,-0.981496020646663,6.69639622676808,-15.9932528865954,1.66265778926782e-08,8.112523018285e-05,10.2296153869015
ENSG00000135919.12;SERPINE2,SERPINE2,1.03967664324828,6.47248402524267,15.4736830699476,2.29358307742774e-08,8.95277218443142e-05,9.91007793790388
ENSG00000120708.16;TGFBI,TGFBI,0.794192548647769,7.47381789796639,14.4480912513144,4.46177356972349e-08,0.000129588443070631,9.28540061213649
ENSG00000125740.13;FOSB,FOSB,0.923081761175169,7.05774528109008,14.3872046683507,4.64784086434603e-08,0.000129588443070631,9.24450418596332
ENSG00000087245.12;MMP2,MMP2,0.838642691421324,8.13911708177016,13.9080624380545,6.44655181576653e-08,0.000140507490971147,8.90242843531293
ENSG00000267519.6;AC020916.1,AC020916.1,0.76336957488103,7.86763501394073,13.0585166553825,1.18175670796751e-07,0.00023064345669402,8.29531116269231
ENSG00000139289.13;PHLDA1,PHLDA1,0.820156978949822,6.65373940121252,12.5492565837504,1.7289529792162e-07,0.000281199794128021,7.94270758694593
ENSG00000125398.6;SOX9,SOX9,1.0743651756999,4.72588455351278,12.5948093608104,1.67016671002589e-07,0.000281199794128021,7.89457571767127
ENSG00000180914.10;OXTR,OXTR,-0.635895944007577,7.68652607853028,-12.4113280086902,1.9211875974564e-07,0.000288429371842742,7.80664247885657
ENSG00000130176.7;CNN1,CNN1,-0.820441520795095,6.13111289343088,-11.8043349661557,3.09438837221704e-07,0.000431379841861142,7.36896722759176
ENSG00000117152.13;RGS4,RGS4,0.975958208956486,5.69161835951935,11.415907263342,4.24619360672435e-07,0.000460405336791329,7.05783380895067
ENSG00000166033.12;HTRA1,HTRA1,0.927324694473219,4.78149963034194,11.433239386982,4.18582918684719e-07,0.000460405336791329,7.04284358825088
ENSG00000196924.15;FLNA,FLNA,-0.570085411581259,11.4299162570958,-11.669042259257,3.45133412017262e-07,0.000449064586822728,6.91783724466126
ENSG00000055163.19;CYFIP2,CYFIP2,-0.876257416324682,5.40219065065631,-11.2046728288783,5.06349396966161e-07,0.000471478211175119,6.88323910375459
ENSG00000151892.14;GFRA1,GFRA1,-0.562489221107848,8.60840611086392,-11.3157944481385,4.61401203231992e-07,0.000471478211175119,6.84780240046437
ENSG00000071575.11;TRIB2,TRIB2,1.78169781190417,2.98797087143809,11.4446461337912,4.14661335276324e-07,0.000460405336791329,6.62516590305076
ENSG00000163430.11;FSTL1,FSTL1,-0.514861973756547,10.3643663093952,-11.2024322951593,5.0730350129003e-07,0.000471478211175119,6.60737358498496
ENSG00000101825.7;MXRA5,MXRA5,1.05797545975478,3.87118079930551,10.672092364392,7.99580372463746e-07,0.000678496092581519,6.34060062346567
ENSG00000139318.7;DUSP6,DUSP6,1.20860204299292,4.28647570584533,10.5138620716404,9.19263552104268e-07,0.000747552781100792,6.25811851645015
ENSG00000126878.12;AIF1L,AIF1L,-0.710772019885346,6.46623779225152,-10.2927420389898,1.12047232325383e-06,0.000834260645753743,6.06244437269252
ENSG00000166963.12;MAP1A,MAP1A,-0.995689218454699,3.92611053645126,-10.1570940932407,1.26738098908021e-06,0.000834260645753743,5.92583176804917
ENSG00000115414.18;FN1,FN1,0.378032843493894,12.8055501725198,10.7073649964873,7.75286622780933e-07,0.000678496092581519,5.90387207523096
ENSG00000128591.15;FLNC,FLNC,-0.632906349012972,8.44425100425545,-10.1951035349621,1.22420537435923e-06,0.000834260645753743,5.83969799202094
ENSG00000136068.14;FLNB,FLNB,-0.465547399859457,9.04906823448618,-10.2251940466987,1.19116203133241e-06,0.000834260645753743,5.81775641264147
ENSG00000197321.14;SVIL,SVIL,1.01055198168993,6.35646442660303,9.97800789836251,1.4944136321258e-06,0.000939836119981269,5.77589231366319
ENSG00000135679.23;MDM2,MDM2,-0.728516538682291,8.80384902703958,-10.1498627399604,1.2757816952582e-06,0.000834260645753743,5.76723966150892
ENSG00000137809.16;ITGA11,ITGA11,0.914770274287143,6.83519785457649,9.94497159658891,1.5409517773941e-06,0.000939836119981269,5.71654983902841
ENSG00000162772.16;ATF3,ATF3,0.658982622462166,6.17540929508672,9.71669509176803,1.9091146040274e-06,0.00103701243434137,5.53404878346377
ENSG00000166483.10;WEE1,WEE1,0.569735317639558,7.76490547955409,9.7848430741366,1.79006192263076e-06,0.00103342881172193,5.49554808209201
ENSG00000075624.14;ACTB,ACTB,-0.408609388517149,12.0085931945156,-10.1442362968568,1.28235996170581e-06,0.000834260645753743,5.45221293143301
ENSG00000160285.14;LSS,LSS,-0.56067197212165,7.56639114734359,-9.71465067834409,1.9128169101957e-06,0.00103701243434137,5.44135890417884
ENSG00000106772.17;PRUNE2,PRUNE2,-0.883366892722611,6.63612377376257,-9.54434754237415,2.2505056240697e-06,0.00118711130445861,5.33911105913493
ENSG00000105989.9;WNT2,WNT2,-1.28903947580255,2.609480797885,-9.77878742898767,1.80030637897964e-06,0.00103342881172193,5.32070877942782
ENSG00000138772.12;ANXA3,ANXA3,-0.614566307210347,6.52202840696027,-9.44180683372827,2.48480261972132e-06,0.00127620770339739,5.24325703991696
