,logFC,AveExpr,t,P.Value,adj.P.Val,B
PROX1,-3.04891764537244,0.17026447465791,-5.66928978110104,7.23666546482799e-05,0.000389592642168665,1.86922450560315
AR,-2.60261835900121,0.225982014194007,-5.65894629543296,7.36460757422093e-05,0.000389592642168665,1.85202356230454
CTCFL,-4.24946049172792,0.410215886397441,-5.65700957644633,7.38882597216433e-05,0.000389592642168665,1.84880107852552
TCF4,-2.70946874464479,0.321865651989716,-5.62494062431881,7.80221319549885e-05,0.000398593452698533,1.79536081116431
PBX3,-3.09413361546222,0.415539645525408,-5.62251713982571,7.83442303579875e-05,0.000398593452698533,1.79131606244625
YY1,-3.15177879445211,0.203902224771611,-5.5625545755497,8.67738768179214e-05,0.000429346167802906,1.69096252790893
TFDP1,3.84739357588631,-0.241400536318705,5.55868359799392,8.73497375874878e-05,0.000429346167802906,1.68446577780086
AHR,-4.70104599818652,0.249634972952526,-5.51790368073759,9.36653012744564e-05,0.000452715622826539,1.6158897540572
ATF3,2.20964455793563,-0.169390250426724,5.4376886465116,0.000107523935307015,0.000511179364574333,1.48028735592166
GRHL2,-2.16503593634932,0.340337254923636,-5.40733817509109,0.000113313021795549,0.00053001252130176,1.42873569472531
VDR,-2.73672443170787,0.127414783309789,-5.37801171970434,0.000119217070789651,0.000548776992523791,1.37879657528183
ZNF263,8.46668799625903,-0.994307185698321,5.33863312828964,0.000127655289114178,0.000573966589517182,1.31154488512754
HNF4G,-3.12401873258085,0.241722120112637,-5.33418175413272,0.000128647683857299,0.000573966589517182,1.30392870488992
ONECUT1,-4.42418945718148,0.375062421214852,-5.31479647084494,0.000133064416747578,0.000584676982678753,1.27072791995546
ATF6,-2.18488922566551,0.190614700835635,-5.30207496484809,0.000136048767805682,0.000588867800949966,1.24891085856863
ZEB2,4.5429374293089,-0.347463125841013,5.27629799540198,0.000142312253247692,0.000604193274289308,1.20463330218537
KLF6,-2.45729200385903,0.283580076178276,-5.27052315995346,0.00014375633077918,0.000604193274289308,1.19470081569142
BCL3,-4.08716249424825,0.485268197217774,-5.24497247886388,0.000150331725413222,0.000622802862426206,1.15069796869928
MEF2B,-2.57501044700582,0.0760636096349849,-5.2328669635265,0.00015355598321783,0.000627200494833392,1.12981789820454
KLF9,-4.42352702908774,0.437097368162228,-5.18841202957818,0.000166029410632797,0.000668729570604323,1.05296353529367
STAT6,-2.56989749922071,0.211345269233423,-5.09882284254546,0.000194487635943596,0.000772622115392366,0.897244467750407
SRF,-2.28386979662814,0.0891856502717621,-5.08442907633215,0.000199514456571973,0.000781880978457732,0.872122918293991
MAFB,-3.38559090558004,0.365162786522057,-5.06744768116814,0.000205619603890507,0.000795062468376628,0.842448801800945
MAFK,-3.12143974991257,0.366776300129614,-5.03671874015724,0.000217167279057758,0.000823821362473853,0.788652008793783
FOXL2,2.66041916281888,-0.279660019607532,5.03001065694626,0.00021977679197374,0.000823821362473853,0.776891272619578
PRDM14,-4.43897909831205,0.441518394218933,-5.02168386576224,0.000223061510283084,0.000823821362473853,0.762284158591935
TP53,-3.37282316766995,0.244615654913436,-5.01827659747369,0.000224420302191153,0.000823821362473853,0.756304335896324
TBX21,-2.76510388256897,0.0611523905417907,-5.0057009695707,0.000229510458020512,0.000831975410324355,0.734220380230876
OTX2,-3.014734163412,0.20932329562239,-4.9978882389531,0.000232733192401938,0.000833242293784717,0.720489847103072
SP4,-2.53661590563436,0.295547593323725,-4.96525637693074,0.000246711766550682,0.000872517223167047,0.663052861726487
REL,2.18683746956015,-0.318343042816116,4.93395648396628,0.000260942260819952,0.00091172597153959,0.607827948772222
E2F7,2.28594797647635,-0.165819038277496,4.91640865416805,0.000269291567656491,0.000929697078814076,0.576810642357834
ZNF143,-3.28152029442473,0.358107570756924,-4.89708033884876,0.000278810473584341,0.000940615094775827,0.542599714008065
EOMES,-2.54713353859452,0.19276360165906,-4.89682004199355,0.000278941028105935,0.000940615094775827,0.542138660054835
PDX1,-2.96017649878594,0.247408779522825,-4.83667304909588,0.000310880846547672,0.00103626948849224,0.435368684009857
ZBTB7A,6.5511715518954,-0.695780055638824,4.81925616088195,0.000320822738191643,0.00105725675085882,0.40436487848613
FOSL1,-2.43677075090693,0.240569724624024,-4.73311876045882,0.000375079604905147,0.00122216949912913,0.25047355754391
FOXA2,2.53583444654981,-0.242856544136743,4.64343542297653,0.000441776948216704,0.00142350349980938,0.0892854250759649
SMARCC2,-3.03995710316651,0.410559559294374,-4.62489657683084,0.000457035306214144,0.00145648614068244,0.0558465233506604
SMAD1,-1.89804076082531,0.124257101993218,-4.61766316529244,0.00046313593175141,0.00145988500225988,0.0427886116503418
MTA1,-5.3509803903386,0.665884361829342,-4.59691954388861,0.000481103266314436,0.00150021448635684,0.00530823428972038
MEIS2,-3.38245332871809,0.223894517179995,-4.55773779803997,0.00051703747859826,0.00159511562546272,-0.0656210191271116
FOXP1,5.43466189917115,-0.548247727843893,4.53691377348935,0.00053725537260644,0.0016396544736848,-0.103388361009496
SP3,-2.41188132163631,0.0186379013675941,-4.53136230348561,0.000542782170599105,0.0016396544736848,-0.113464893926228
USF2,-2.62547715066226,0.301530704139478,-4.39664694237661,0.000696564857116565,0.00205032603144428,-0.359006924753422
KLF1,-2.97538131182173,0.365359059156216,-4.39443554046985,0.000699435090671575,0.00205032603144428,-0.363053423727989
TFAP2C,-2.13862023102287,0.208594387623365,-4.39404835217385,0.000699938886596497,0.00205032603144428,-0.363761965138401
ARNTL,-1.74885962599884,-0.00893799022134183,-4.38309391816244,0.00071434871750666,0.00207161128076931,-0.383814483908703
KLF4,1.94932263594329,-0.0965536756072844,4.32829703268545,0.000791165460809217,0.00223456373197426,-0.484301400315031
E2F6,2.29987237316374,-0.230389832618459,4.32759890162024,0.000792197308398515,0.00223456373197426,-0.485583531160813
ETV1,-2.49747212262398,0.121526406534244,-4.32661398148882,0.000793655394459823,0.00223456373197426,-0.487392435326008
NFE2L1,-2.57207467046524,0.196468383413294,-4.30287651338157,0.000829646220607756,0.0023134365766947,-0.531016720813333
KLF13,4.05259667915589,-0.388664736366905,4.25849871545426,0.000901512548032514,0.00248989179932789,-0.612715152532777
ELF1,-2.04189525013712,0.217913004690007,-4.2235070527476,0.000962682095010736,0.00263375290144447,-0.677260235093054
ESRRA,-2.78128372470824,0.363896305368122,-4.21458892000842,0.000978944626949533,0.00265321440948939,-0.693727806559208
FOS,-1.95420167308884,0.139422349790221,-4.20273756071608,0.00100099446307936,0.00268785550271309,-0.715622349320858
RUNX1,-2.21620103280991,0.290784584118454,-4.15709814761853,0.00109079136057933,0.00290210545475234,-0.800049290766958
MAX,-2.43656389092143,0.313056178237301,-4.12167397257297,0.00116617125103287,0.00307445147999574,-0.865697228308646
GFI1B,-2.26341767767366,0.369249387339547,-4.08205874181717,0.00125683556527229,0.0032836244498105,-0.939228402264731
ZNF217,-2.42457126928049,0.154772267309662,-4.0358244402548,0.0013718543992155,0.0035521229979687,-1.02519303146793
FOXO1,-3.09899679761514,0.173124018228373,-3.96883798346075,0.00155795524921288,0.00399829223249322,-1.15000494950529
NR2F6,2.4221440209827,-0.24215806895431,3.94905866455458,0.00161770822895566,0.00410563957364762,-1.18691389692082
FOXO4,-2.09047370335042,0.0454868438338933,-3.9456957475764,0.00162809845161888,0.00410563957364762,-1.19319160561479
RFX1,-2.26819064434047,0.106468809150327,-3.93506161658928,0.00166140566285992,0.0041535141571498,-1.21304727539282
KLF5,-3.28354983059858,0.392454435590276,-3.92356657230251,0.00169819400366361,0.00420919881249955,-1.23451790833396
LYL1,-3.55633852966594,0.13962533765989,-3.89783658999384,0.00178358829517546,0.00438339496271936,-1.28260414470491
CREM,-1.98374424573527,0.00493730843876661,-3.87775147514449,0.00185328968419718,0.00451642023879984,-1.32016606014096
SPIB,-2.52919359366494,0.24732493047617,-3.86401454335688,0.00190255773894871,0.00459784786912605,-1.34586821091128
HINFP,-2.06148687036915,0.198848860602693,-3.82929432411101,0.00203313179507587,0.00487279521133886,-1.41087251453855
ZNF639,-2.78283930193419,0.431707645863175,-3.80587127430903,0.00212635273613353,0.00505444502851413,-1.4547577929398
MIER1,2.89544351679462,-0.470175698264395,3.79692684413617,0.00216309041180582,0.00509996926360721,-1.47152239570361
PKNOX1,-1.75998522910914,0.0774191927586758,-3.74233797323241,0.00240176449103009,0.00561702985805425,-1.5739085656909
GATA4,-2.13160841822821,0.082694778833116,-3.72904351800795,0.00246384739102814,0.00571612594718529,-1.5988601405726
SIX5,-4.06500067531726,0.508960600604937,-3.7057259667281,0.00257670817291891,0.00593051881068637,-1.64263749500766
THAP11,2.46982892896569,-0.400941940090589,3.69641267041698,0.00262324293623908,0.00599008229534907,-1.66012734361689
SMAD2,-2.04138442088487,0.224548696978711,-3.68909292989132,0.00266041575676572,0.00602750444892234,-1.67387516582837
NFE2,-2.27516918294514,0.372281909816622,-3.65415118659085,0.00284538070491905,0.00639659228237616,-1.739521754285
HHEX,1.88651246780781,-0.405922239190507,3.5402538756487,0.00354399131693713,0.00790582678393667,-1.95366566624135
NFATC1,-1.71877112372576,0.142284657432294,-3.50805189741046,0.00377138142471438,0.00834885964249747,-2.01423303830074
ZNF592,-2.53542662122099,0.269432208478083,-3.45171786515414,0.00420524690591997,0.00923880002058175,-2.1201868069595
TGIF2,1.93860341565279,-0.209334909283863,3.42224967660695,0.0044519357065641,0.00968934915041154,-2.17560134027363
BCL6,1.65604498392098,-0.0617331276870497,3.41933127301436,0.00447714753846602,0.00968934915041154,-2.18108876081357
ZNF740,-2.22384222685106,0.19131295627169,-3.41405359339118,0.00452310704631582,0.00971630402541916,-2.19101196354765
ATF7,-2.23380909447666,0.191363655948279,-3.40524218348292,0.00460090154369096,0.00981074593875279,-2.20757837594
SMAD3,-1.77945436863573,0.104845130656654,-3.3759017918276,0.00486979404051524,0.0103083231514556,-2.26273121148382
TFAP4,-3.23938127547609,0.311024063027861,-3.34797295798691,0.00514043875544353,0.0108023712976712,-2.31521277099347
CLOCK,-1.54363207619885,0.0499342557913131,-3.33830212875003,0.00523763949817313,0.0109274493127353,-2.33338058824364
TP73,-1.88191446826277,0.365408722627284,-3.31785487852509,0.00544927971963249,0.011287793704953,-2.37178396382226
TFAP2A,-2.30407236677062,0.198060774630345,-3.26227282665443,0.00606901146768502,0.0124823640115508,-2.47610151924358
RARA,-1.44080351306403,0.164699285906812,-3.23360280249995,0.00641582943997648,0.0131027502647407,-2.52985905004437
ZNF384,-2.54535055593321,0.212551041179922,-3.22239677918532,0.00655672259947513,0.0132968500269076,-2.55085999090415
E2F4,3.46203909848033,-0.0967178581380969,3.21845725220713,0.00660698662100649,0.0133057369450825,-2.55824142972214
SOX11,-2.0628545898406,0.0321824322349979,-3.20413346383234,0.00679301414937021,0.0135860282987404,-2.58507272939423
KLF3,-1.60359190358759,-0.0881751290733853,-3.19632251056369,0.00689665584043721,0.0136988369433342,-2.59969942169367
CREB3,-1.61933172281647,0.0789483095681689,-3.15508758723363,0.0074705642781617,0.0147378478956931,-2.67685513847724
NR1H2,-1.66193459112946,0.140578097530945,-3.143056006034,0.00764683765664655,0.0149836683812669,-2.69934726191122
ARNT,-2.12624733224439,0.284228104481177,-3.1317511911214,0.00781624301398623,0.0152128219735302,-2.72047171740638
TAL1,-1.50473455277184,0.131437588617015,-3.12512586158432,0.00791725951223449,0.0152549893717595,-2.73284777535796
ZKSCAN1,-2.32717294780367,0.29513961805674,-3.12344362536652,0.0079431151556403,0.0152549893717595,-2.73598967443248
NFKB1,1.46031786006922,-0.210289233838885,3.06955658073636,0.00881738266368218,0.0168226379767621,-2.83651935079766
POU4F2,-2.20320802926452,0.265700918829585,-3.05665368705805,0.00904054959442445,0.0171334056480163,-2.86055530247435
JUN,1.52135172196913,-0.219032736505834,3.05335896069982,0.00909842920618797,0.0171334056480163,-2.86669051033438
MAFF,-1.90955931346539,0.113111877882973,-3.03516700863613,0.00942470670163997,0.0176333222159716,-2.90054877047012
UBTF,-2.70512295870041,0.175377990124679,-3.02902693543838,0.00953743309491085,0.0176740925674969,-2.91196961885373
PPARG,-1.40609289805945,-0.058947400691039,-3.02735346444584,0.00956838804516212,0.0176740925674969,-2.91508174706801
CEBPD,1.95572471737481,-0.0733962863332702,3.02036684568037,0.00969870370611654,0.0177088532127293,-2.92807178330406
E2F2,1.56842603947709,-0.0588631941686413,3.01980089312762,0.00970933676146194,0.0177088532127293,-2.92912383961591
RBPJ,-2.02366379144448,0.328401127198862,-2.9904606262765,0.0102767116618126,0.0186265398870353,-2.98362160820161
HBP1,1.94659527850875,-0.100995768022881,2.97327273637882,0.010624226624583,0.0191368057212986,-3.01550618804571
STAT4,-1.36517567928307,0.162003611279172,-2.96747365854265,0.0107440820119349,0.0192332332312414,-3.0262567360293
SMAD4,-1.56297069683404,0.0535005987071416,-2.9555580709668,0.0109945699253657,0.0195608912782581,-3.04833476903162
RFXANK,1.51643410356423,-0.246524093724625,2.92623222676963,0.011635924760924,0.0204510192767755,-3.10260335418958
RFXAP,1.51643410356423,-0.246524093724625,2.92623222676963,0.011635924760924,0.0204510192767755,-3.10260335418958
SOX9,1.6497362107752,0.0365768172337595,2.90846308887299,0.0120423784910295,0.021037890134931,-3.13543646019258
NCOR2,2.94636148757357,-0.375379262752563,2.86802912616012,0.0130202127344049,0.0226099502573498,-3.21000128562983
DUX4,-2.67861291252743,0.371446103892346,-2.86036499598804,0.0132141896938693,0.0228102084001315,-3.22411068388324
NR5A2,-1.55639010092102,0.0592275967686325,-2.81514949165601,0.014417826889002,0.0247406496911869,-3.30718468113944
THAP1,-2.88653416745974,0.366174464313944,-2.78477904693395,0.0152861085261489,0.026076302779901,-3.36281599725662
RXRA,-1.28349325017572,0.125337548629281,-2.74020324960658,0.0166540766913413,0.0282437557923333,-3.44420548458068
FLI1,-1.40292272734712,0.240747704259965,-2.72598025344058,0.0171152559483993,0.0286952242232431,-3.47010561620064
